ID	parentID	basionymID	rank	etymology	vernacularName	scientificName	authorship	namePublishedInYear	nameReferenceID	extinct	kingdom	phylum	class	order	family	references	imageURL	imageLicense	imageCreator	imageLink
110			species	Edward O. Wilson		Dacetinops wilsoni	Taylor, 1985	1985	x3	FALSE	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	https://www.antcat.org/catalog/436303				
111			species	Jacinda Ardern		Hemiandrus jacinda	Trewick, 2021	2021	TREWICK_2021	FALSE	Animalia	Arthropoda	Insecta	Orthoptera	Anostostomatidae	http://zoobank.org/NomenclaturalActs/b98129ce-b464-4c32-98e6-8b4b2f007f57				
112			species	Bram Stoker		Draculoides bramstokeri	Harvey & Humphreys, 1995	1995	x4	FALSE	Animalia	Arthropoda	Arachnida	Schizomida	Hubbardiidae	https://library.museum.wa.gov.au/internaldocs/19145/Harvey&Humphreys1995NotesonDraculoides.pdf				
113			species	Jean-Baptiste Lamarck		Amelanchier lamarckii	F.G.Schroed.	1968	Schroeder_1968	FALSE	Plantae			Rosales	Rosaceae	https://en.wikipedia.org/wiki/Amelanchier_lamarckii				
114			species	Adolf Hitler		Anophthalmus hitleri	Scheibel, 1937	1937	x5	FALSE	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	https://en.wikipedia.org/wiki/Anophthalmus_hitleri				
115			species	Taylor Swift		Nannaria swiftae	Hennen, Means & Marek, 2022	2022	Hennen_2022	FALSE	Animalia	Arthropoda	Diplopoda	Polydesmida	Xystodesmidae	https://en.wikipedia.org/wiki/Nannaria_swiftae				
116			species	Vladimir Lenin		Leninia stellans	Fischer et al., 2013	2013	FISCHER_2013	TRUE	Animalia	Chordata	Reptilia	Ichthyosauria	Ophthalmosauridae	https://en.wikipedia.org/wiki/Leninia				
117			species	Charles Darwin	Darwin's frog	Rhinoderma darwinii	Duméril & Bibron, 1841	1841	x6	FALSE	Animalia	Chordata	Amphibia	Anura	Rhinodermatidae	https://en.wikipedia.org/wiki/Darwin%27s_frog				
118	117	117	species	Charles Darwin		Bombinator darwinii	(Duméril & Bibron, 1841)	1858	x7		FALSE	Animalia	Chordata	Amphibia	Anura	Rhinodermatidae	https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Rhinodermatidae/Rhinoderma/Rhinoderma-darwinii				
119			species	Johann Wolfgang von Goethe & William Shakespeare		Goetheana shakespearei	Girault, 1920	1920	x8	FALSE	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	http://www.waspweb.org/Chalcidoidea/Eulophidae/Entedoninae/Goetheana/Goetheana_shakespearei.htm				
120			species	Wolfgang Amadeus Mozart & Ludwig van Beethoven		Mozartella beethoveni	Girault, 1926	1926	x9	FALSE	Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	https://sv.wikipedia.org/wiki/Mozartella_beethoveni				
121			species	Leonardo DiCaprio		Uvariopsis dicaprio	Cheek & Gosline	2022	Gosline_2022	FALSE	Plantae				Annonaceae	https://doi.org/10.7717/peerj.12614	https://dfzljdn9uc3pi.cloudfront.net/2022/12614/1/fig-1-full.png		Lorna MacKinnon	https://doi.org/10.7717/peerj.12614/fig-1
122			species	Greta Thunberg		Craspedotropis gretathunbergae	Schilthuizen et al., 2020	2020	Schilthuizen_2020	FALSE	Animalia	Mollusca	Gastropoda		Cyclophoridae	https://doi.org/10.3897/BDJ.8.e47484	https://arpha.pensoft.net//showfigure.php?filename=oo_348745.jpg		Pierre Escoubas	https://doi.org/10.3897/BDJ.8.e47484.figure2
123			species	Karl Lagerfeld		Jotus karllagerfeldi	Baehr, Schubert & Harms, 2019	2019	Baehr_2019	FALSE	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	https://doi.org/10.3897/evolsyst.3.34496	https://upload.wikimedia.org/wikipedia/commons/a/a5/Jotus_karllagerfeldi_A.jpg	CC BY 4.0	Mark Newton	https://en.wikipedia.org/wiki/File:Jotus_karllagerfeldi_A.jpg
