taxonID;acceptedNameUsageID;originalNameUsageID;taxonRank;taxonRemarks;vernacularName;scientificName;scientificNameAuthorship;namePublishedInYear;namePublishedIn;namePublishedInID;fossil;kingdom;phylum;class;order;family;references;imageURL;imageLicense;imageCreator
71;72;;subspecies;Theodore Roose­velt;;Cervus elaphus roosevelti;Merriam, 1897;1897;;;FALSE;Animalia;;;;;http://explorer.natureserve.org/servlet/NatureServe?searchName=Cervus+elaphus+roosevelti;;;
72;;71;subspecies;Theodore Roose­velt;Roosevelt Elk;Cervus canadensis roosevelti;(Merriam, 1897);;;;FALSE;Animalia;Chordata;Mammalia;;Cervidae;https://en.wikipedia.org/wiki/Elk#Taxonomy;;;
73;;;species;Theodore Roose­velt;Roosvelt's Shrew;Crocidura roosevelti;(Heller, 1910);;;;FALSE;Animalia;Chordata;Mammalia;Eulipotyphla;Soricidae;http://www.iucnredlist.org/details/41355/0;;;
74;;;species;Theodore Roose­velt;;Pheidole roosevelti;Mann, 1921;1921;The ants of the Fiji Islands. Bulletin of the Museum of Comparative Zoology, 64: 401-499;doi:10.5281/zenodo.25892 ;FALSE;Animalia;Arthropoda;Insecta;Hymenoptera;Formicidae;http://hol.osu.edu/index.html?id=33974;;;
75;;;species;Isabella Rossellini;;Ptomaphaginus isabellarossellini;Schilthuizen, Njunjić & Perreau;2018;A review of the Cholevinae from the island of Borneo (Coleoptera, Leiodidae). ZooKeys 777: 57-108.;https://doi.org/10.3897/zookeys.777.23212;FALSE;Animalia;Arthropoda;Insecta;Coleoptera;Leiodidae;http://zoobank.org/87C3F9D7-6CBD-4351-B96F-307A65F0716D;;;
76;;;species;David Attenborough;;Kingsleya attenboroughi;Pinheiro & Santana, 2016;2016;A new and endangered species of Kingsleya Ortmann, 1897 (Crustacea: Decapoda: Brachyura: Pseudothelphusidae) from Ceará, northeastern Brazil. Zootaxa 4171 (2): 365-372;http://dx.doi.org/10.11646/zootaxa.4171.2.9;FALSE;Animalia;Arthropoda;Malacostraca;Decapoda;Pseudothelphusidae;;;;
77;;;species;David Attenborough;;Micridium attenboroughi;Darby, 2017;2017;Taxonomic review of the genera Micridium Motschulsky, 1869 and Micridina Johnson, 1969 (Coleoptera: Ptiliidae) with eleven new species including the first records from South America and Madagascar. Zootaxa 4242 (2): 233-254;https://doi.org/10.11646/zootaxa.4242.2.2;FALSE;Animalia;Arthropoda;Insecta;Coleoptera;Ptiliidae;http://zoobank.org/0DD1868D-4EF5-4FB7-AEE9-372644800A79;;;
78;;;species;David Attenborough;;Acisoma attenboroughi;;;Six, not two, species of Acisoma pintail dragonfly (Odonata: Libellulidae). Zootaxa 4109 (2): 153-172;http://doi.org/10.11646/zootaxa.4109.2.3;FALSE;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;;;;
79;;;species;David Attenborough;;Ctenocheloides attenboroughi;Anker, 2010;2010;Ctenocheloides attenboroughi n. gen., n. sp. (Crustacea: Decapoda: Axiidea: Ctenochelidae), a new ghost shrimp with pectinate claw fingers from Madagascar. Journal of Natural History, 44, 1789-1805.;;FALSE;Animalia;Arthropoda;Malacostraca;Decapoda;Callianassidae;;;;
80;;;species;David Attenborough;;Palaina attenboroughi;Greke, 2017;2017;Taxonomic review of Diplommatinidae (Caenogastropoda: Cyclophoroidea) from Wallacea and the Papuan region. In: Biodiversity, biogeography and nature conservation in Wallacea and New Guinea, Volume 3, Biodiversity, biogeography and nature conservation in Wallacea and New Guinea (Telnov, ed.), The Entomolog.;;FALSE;Animalia;Mollusca;Gastropoda;Architaenioglossa;Diplommatinidae;http://zoobank.org/a9e64f72-c826-4226-8e64-8be0d34b43dd;;;
81;;;species;David Attenborough;Attenborough’s Flat Lizard ;Platysaurus attenboroughi;Whiting, Branch, Pepper & Keogh, 2015;2015;A new species of spectacularly coloured flat lizard Platysaurus (Squamata: Cordylidae: Platysaurinae) from southern Africa. Zootaxa 3986 (2): 173-192,;http://dx.doi.org/10.11646/zootaxa.3986.2.2;TRUE;Animalia;Chordata;Reptilia;Squamata;;;;;
82;;;species;David Attenborough;;Materpiscis attenboroughi;Long, Trinajstic, Young & Senden, 2008;2008;;doi:10.1038/nature06966;TRUE;Animalia;Chordata;Placodermi;Ptyctodontida;Ptyctodontidae;https://www.nature.com/articles/nature06966;;;
83;;;species;David Attenborough;;Cavisternum attenboroughi;Baehr & Raven, 2013;2013;Biodiversity discovery program Bush Blitz yields a new species of goblin spider, Cavisternum attenboroughi (Araneae: Oonopidae), from the Northern Territory. Zootaxa 3616 (4): 396-400;http://dx.doi.org/10.11646/zootaxa.3616.4.8;FALSE;Animalia;Arthropoda;Arachnida;Araneae;Oonopidae;;;;
84;;;species;David Attenborough;;Apoleptomastix attenboroughi;Noyes & Hayat, 1994;1994;;;FALSE;Animalia;Arthropoda;Insecta;Hymenoptera;Encyrtidae;;;;
85;;;species;David Attenborough;;Succinalophus attenboroughi;Legalov, 2016;2016;;;FALSE;Animalia;Arthropoda;Insecta;Coleoptera;"Curculionidae
";;;;
86;;;genus;Lou Reed;;Loureedia;Miller 2012;2012;The velvet spiders: an atlas of the Eresidae (Arachnida, Araneae). ZooKeys. 195: 1–144; doi:10.3897/zookeys.195.2342;FALSE;Animalia;Arthropoda;Arachnida;Araneae;Eresidae;https://zookeys.pensoft.net/articles.php?id=2798;;;
87;;;species;Emperor Akihito;;Exyrias akihito;Allen & Randall, 2005;2005;Allen, Gerald R. & John E. Randall. 2005. Exyrias akihito, a new species of coral-reef goby (Gobiidae) from the western Pacific. Raffles Bulletin of Zoology 53(2): 75-79.;;FALSE;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;http://zoobank.org/NomenclaturalActs/c0ab159e-00c8-481b-8d3a-2762082df33d;;;
88;;;species;Edward Osborne Wilson;;Pheidole eowilsoni;Longino, 2009;2009;Longino, John T. 2009. Additions to the taxonomy of New World Pheidole (Hymenoptera: Formicidae). Zootaxa 2181: 1-90.;;FALSE;Animalia;Arthropoda;Insecta;Hymenoptera;Formicidae;https://www.mapress.com/zootaxa/list/2009/zt02181.html;;;
89;;;species;Joni Mitchell;;Cortinarius jonimitchelliae;H. Lindstr., Dima, Kytöv., Liimat. & Niskanen;2016;;doi:10.1007/s11557-016-1217-5;FALSE;Fungi;Basidiomycota;Agaricomycotina;Agaricales;Cortinariaceae;http://doi.org/10.1007/s11557-016-1217-5;;;
